ID,UserLanguage,Age,Gender,Educ,Educ_Mom,Country,Isolation,COVID_Concerns,Corona_concerns_1,Corona_concerns_2,Corona_concerns_3,Corona_concerns_4,Corona_concerns_5,COVID_Compliance,Compliance_1,Compliance_2,Compliance_3,Compliance_4,Compliance_5,Compliance_6,Compliance_6
196,SAR,65,Male,"College degree, bachelor, master",Up to 6 years of school,Argentina,2,24,6,6,6,NA,6,33,6,6,6,3,6,6,6
197,BG,27,Female,Up to 12 years of school,Up to 12 years of school,Bulgaria,4,17,1,4,4,4,4,21,5,4,2,4,5,1,1
198,BG,22,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Bulgaria,NA,12,1,3,2,3,3,19,5,4,3,4,1,2,2
199,EN,37,Female,PhD/Doctorate,Up to 6 years of school,United Kingdom,NA,28,6,6,6,5,5,26,4,5,6,3,4,4,4
200,SAR,35,Male,PhD/Doctorate,Up to 12 years of school,Argentina,0,22,2,5,5,5,5,23,5,1,6,6,4,1,1
201,SME,32,Male,"College degree, bachelor, master",Up to 6 years of school,Mexico,5,25,5,5,5,5,5,21,5,5,5,2,2,2,2
202,BG,42,Female,"College degree, bachelor, master",College degree,Bulgaria,0,22,4,5,5,4,4,20,4,5,6,2,2,1,1
204,SME,25,Female,"College degree, bachelor, master",Some College or equivalent,Mexico,2,30,6,6,6,6,6,26,6,6,5,3,4,2,2
205,BG,57,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Bulgaria,2,24,4,5,5,5,5,21,5,6,6,1,3,NA,NA
206,BG,44,Female,"College degree, bachelor, master",College degree,Bulgaria,0,24,5,5,5,5,4,26,5,5,4,3,4,5,5
208,BG,48,Female,"College degree, bachelor, master",College degree,Bulgaria,NA,27,4,6,6,6,5,23,6,5,5,2,2,3,3
209,SME,52,Female,"College degree, bachelor, master",College degree,Mexico,4,30,6,6,6,6,6,29,6,6,6,5,3,3,3
210,SME,18,Female,Up to 12 years of school,Up to 12 years of school,Mexico,5,25,5,5,5,5,5,23,5,6,6,NA,4,2,2
211,EN,40,Female,"Some College, short continuing education or equivalent",College degree,Estonia,1,23,4,6,4,4,5,23,5,5,5,1,3,4,4
212,SME,26,Female,PhD/Doctorate,College degree,Mexico,2,29,5,6,6,6,6,25,5,6,5,1,5,3,3
213,SAR,68,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,7,3,1,1,NA,2,18,2,5,5,3,1,2,2
214,BG,41,Male,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,7,20,3,4,3,5,5,24,5,5,5,4,3,2,2
215,IT,45,Male,"College degree, bachelor, master",Some College or equivalent,Italy,NA,15,2,4,3,3,3,20,5,3,4,2,3,3,3
216,BG,60,Male,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,0,26,6,6,6,4,4,36,6,6,6,6,6,6,6
217,SME,52,Female,"College degree, bachelor, master",Up to 12 years of school,Mexico,4,16,3,5,3,2,3,28,5,6,6,6,1,4,4
218,SME,19,Male,"College degree, bachelor, master",PhD/Doctorate,Panama,6,19,4,5,4,2,4,27,4,6,5,2,5,5,5
219,BG,67,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,1,8,NA,3,NA,NA,5,23,4,4,4,4,3,4,4
220,SV,23,Male,"Some College, short continuing education or equivalent",Up to 12 years of school,Sweden,NA,27,5,5,5,6,6,22,4,5,5,2,5,1,1
221,SME,21,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Mexico,2,27,5,6,5,6,5,23,5,6,6,1,1,4,4
222,RO,29,Female,"College degree, bachelor, master",College degree,Denmark,NA,25,5,5,5,5,5,26,6,6,6,3,4,1,1
223,SME,31,Male,"College degree, bachelor, master",PhD/Doctorate,Mexico,1,26,6,6,5,5,4,23,5,6,4,2,3,3,3
224,SME,30,Female,"College degree, bachelor, master",Up to 6 years of school,Mexico,2,27,5,6,5,6,5,26,5,6,6,5,1,3,3
225,SAR,32,Male,"College degree, bachelor, master",Some College or equivalent,Argentina,1,18,2,4,4,4,4,20,4,4,4,2,4,2,2
226,SME,50,Female,"College degree, bachelor, master",Up to 9 years of school,Mexico,1,30,6,6,6,6,6,27,6,6,6,1,2,6,6
227,SAR,32,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,5,30,6,6,6,6,6,28,6,6,6,4,2,4,4
228,SME,54,Male,"College degree, bachelor, master",Up to 9 years of school,Mexico,4,30,6,6,6,6,6,23,5,6,6,1,4,1,1
229,BG,67,Female,"College degree, bachelor, master",Up to 12 years of school,Bulgaria,1,13,2,2,3,2,4,28,5,5,5,5,4,4,4
230,SAR,28,Female,"Some College, short continuing education or equivalent",Some College or equivalent,Argentina,3,22,4,6,4,6,2,27,5,6,5,1,4,6,6
231,IT,28,Female,Up to 12 years of school,Up to 9 years of school,Italy,1,25,5,5,4,6,5,23,3,6,6,2,2,4,4
232,FI,50,Female,"College degree, bachelor, master",Up to 12 years of school,Finland,2,23,5,5,5,4,4,28,4,5,5,6,3,5,5
233,SAR,39,Female,"Some College, short continuing education or equivalent",Up to 12 years of school,Argentina,1,23,4,5,4,5,5,23,5,5,5,2,4,2,2
235,SAR,58,Female,"Some College, short continuing education or equivalent",College degree,Argentina,2,19,2,2,3,6,6,24,6,6,6,2,3,1,1
236,BG,71,Other/would rather not say,PhD/Doctorate,College degree,Bulgaria,0,21,4,4,4,4,5,23,5,6,5,2,4,1,1
